便塊除去	摘便
皮フ角化症	皮膚角化症
腎後性腎障害【先行した尿閉後，BUN CRE上昇】	無し
梗塞後出血	出血性梗塞
Ｓ状結腸癌切除	Ｓ状結腸の悪性新生物
結腸癌術後	結腸癌
左肩・左殿部打撲	挫傷
血小板低下（Ｇ２）	血小板減少
右中咽頭癌肺転移【肺転移】	肺転移
悪性リンパ腫（２００９年）	悪性リンパ腫
感冒（咽頭痛）【咽頭痛】	咽頭痛
胆のう摘出術後	胆嚢切除
動脈管開存症ｏｐｅ２２才	動脈管開存症
肝ＭＡＬＴリンパ腫	ＭＡＬＴリンパ腫
右眼違和感	眼の違和感
薬剤アレルギー性皮疹	薬疹
食欲増進おなかがいっぱいにならない	食欲亢進
肩頸腕症候群	頚肩腕症候群
右足指第一指骨折	母趾骨折
右アキレス腱断裂	アキレス腱断裂
なみだ目	流涙
前胸部環状肉芽腫	環状肉芽腫
胆管癌うたがい	胆管癌
生理が終わらない	過長月経
右第一趾からの出血（腫瘍出血）	腫瘍出血
常習性便秘症	便秘
閉塞性換気障害	ＣＯＰＤ
周術期滅菌	感染予防
センチネルリンパ節郭清術	センチネルリンパ節郭清
左ふくらはぎの腫れ	下肢腫脹
腰椎椎間板ヘルニアの悪化	腰椎椎間板ヘルニア
心窩部の鈍痛の増悪	心窩部痛
ひざの裏の痛み	下肢痛
月経時のような痛み	女性骨盤痛
ＦＳＨ低下	ＦＳＨ減少
多発性脳動脈奇形	脳血管動静脈奇形
肝腫瘍（肝血管腫）	肝臓血管腫
胆石性胆のう炎胆のう摘出術	結石性胆嚢炎
右膝打撲	膝の挫傷
消化器症状ＮＯＳ	胃腸症状ＮＯＳ
左前腕出血【BY THE PATIENT REMOVED INTRAVENOUS LINE ACCIDENTALLY】	処置による出血
右肩透析アミロイドーシス	透析アミロイドーシス
まつ毛が抜けている	睫毛の脱毛
胃血管拡張（毛細血管拡張，部位不明）	胃腸毛細血管拡張症
ＢＵＮ低下	ＢＵＮ減少
習慣飲酒あり	アルコール摂取
右眼部打撲	眼挫傷
体があつくなる	全身熱感
臀部感染予防	感染予防
誤嚥性肺炎再発	誤嚥性肺炎
誤飲性肺炎	誤嚥性肺炎
糖尿病（食事療法）	糖尿病
心臓付近のリンパ転移	リンパ節転移
悪夢を見た	悪夢
貝アレルギー	貝類アレルギー
ＧＯＴの高値	ＧＯＴ増加
打撲（右肘・右大腿部）	挫傷
ＤＩＣ疑い	ＤＩＣ
加齢性腎障害	腎障害
膀胱結石症	膀胱結石
中性脂肪の上昇	トリグリセリド増加
根治的膀胱全摘除術	根治的膀胱摘除
左腸腰筋膿瘍	筋膿瘍
血タン	血痰
ＤＩＣの疑い	ＤＩＣ
頭髪の脱毛	毛髪脱落
上下口唇にびらん	口唇びらん
動揺性めまい	浮動性めまい
陰のう浮腫	陰嚢浮腫
大腸憩室穿孔	憩室穿孔
眼瞼アテローム増大	皮下粉瘤
着色尿（赤色）	赤色尿
限局性脂肪肝	脂肪肝
「腎機能障害	腎機能障害
子宮内膜症（卵巣）	卵巣子宮内膜症
四肢壊疽	末梢性壊疽
肝動注	動注化学療法
貧血の増悪	貧血増悪
ももが痛い	大腿痛
AE対処【間質性肺炎】	間質性肺炎
鼻粘膜の傷	鼻部損傷
術後照射	放射線療法
腹水軽度	腹水
皮疹（手・足）	四肢皮疹
左胸部皮下膿瘍	皮下組織膿瘍
巨大な血腫（後腹膜）	後腹膜血腫
十二指腸乳頭部腫瘍	十二指腸新生物
術後症候性の脳血管攣縮	脳血管攣縮
気管支喘息（他院にて治療中）	気管支喘息
がん死	癌
皮膚のただれ	皮膚びらん
３８才胆石手術	胆石摘出
生殖器・尿路:膀胱癌	膀胱癌
上肢、下肢、胸部への発疹	発疹
ホモシスチン尿症（ビタミンＢ６依存型）	ホモシスチン尿症
全身性皮フそう痒症	全身性そう痒症
胃粘膜化腫瘍	胃新生物
洞不全７０才～ペースメーカー	洞不全症候群
ドレーンから出血	術後出血
術後逆流性食道炎	逆流性食道炎
右手首痛	手首痛
ＰＣＩ治療（左前下行枝）	経皮的冠インターベンション
血栓（塞栓）予防	血栓塞栓症予防
蛋白尿陽性	蛋白尿
薬疹多形紅斑	多形紅斑様皮疹
ヘノッホ・シェンライン紫斑病	ヘノッホ・シェーンライン紫斑病
膵酵素上昇リパーゼ上昇	リパーゼ増加
単球高値	単球数高値
慢性肺疾患の急性増悪	肺疾患
アセチルサリチル酸による薬剤過敏症症候群様薬疹	薬剤誘発性過敏症症候群
γ－ＧＴＰ血症	γ－グルタミルトランスフェラーゼ増加
動静脈瘻術後	動静脈瘻手術
手の発赤	限局性紅斑
胃癌（ＳｔａｇｅIIｃ）幽門側胃切除	胃癌第２期
両増殖性糖尿病性網膜症	増殖糖尿病網膜症
肺MAC症	マイコバクテリウム・アビウムコンプレックス感染
カテーテル刺入部痛	カテーテル留置部位疼痛
骨シンチ	骨シンチグラフィ
冠動脈ステント治療	冠動脈ステント挿入
有痛性筋けいれん	下肢痙攣
頭頂部挫創	頭部損傷
左下腿内側皮下出血	皮下出血
肺炎球菌肺炎	肺炎球菌性肺炎
腹部腫瘤の除去	腹部腫瘤
パーキンソン様症候群	パーキンソン症候群
足底痛	足部痛
惨出性中耳炎	滲出性中耳炎
シャント肢の表在性皮膚感染症	皮膚感染
上室性頻拍	上室性頻脈
手皮フ反応（手足皮膚反応）	手足皮膚反応
息苦しくなった	呼吸困難
ＡＬＴ異常【上昇】	ＡＬＴ増加
背部痒み	限局性そう痒
左膝挫創	膝損傷
ＲＬＳ ｓ/ｏ	無し
ＰＴ％異常	プロトロンビン量異常
鎖骨転移	骨転移
両眼白内症	両側白内障
仙骨部皮膚障害	皮膚障害
抜け毛(頭部)	毛髪脱落
腹部大動脈瘤術後	大動脈瘤修復
凝固系検査値異常変動（プラスミノーゲン活性上昇プロテインＣ活性上昇）	無し
出血（ＰＣＰＳ刺入部）	穿刺部位出血
感覚性ニューロパチー	感覚ニューロパチー
術後膵炎	膵炎
左足首の外傷性斑状出血	足関節の挫傷
Ｔｈ８圧迫骨折	第８胸椎圧迫骨折
即死ＮＯＳ	即死
アミラーゼ・リパーゼの増加	無し
５８才の時から糖尿病	糖尿病
大腿動脈膝窩動脈バイパス術	大腿膝窩動脈バイパス
歯周囲組織化膿	歯周感染
手の皮膚反応	皮膚反応
アレルギー背鼻炎	アレルギー性鼻炎
左足首に発疹	両下肢皮疹
切除不能な分化型甲状腺癌（乳頭癌）	乳頭様甲状腺癌
特発性脊髄硬膜外血腫	脊髄硬膜外血腫
三尖弁逆流症（中等度）	三尖弁逆流
前立腺癌（放射線治療後）	前立腺癌
胸膜浸潤	胸膜転移
脊髄（Ｃ６）神経鞘腫）摘出術後	神経鞘腫
両下肢潰瘍	下肢潰瘍
貧血進行	貧血増悪
メニエル病	メニエール病
急性化膿性扁桃炎	急性扁桃炎
後頭部熱感	限局性温感
不整脈による心臓死	不整脈
粘膜炎（口角炎）	口角炎
後頭部打撲	頭部挫傷
糖尿病性足壊疽（右第１趾、５趾切断）	糖尿病性壊疽
甲状腺機能亢進症疑い	甲状腺機能亢進症
凝固系検査値異常変動（ＡＰＴＴ短縮、プラスミノーゲン上昇、ＴＡＴ上昇）	無し
両側変形性膝関節症	変形性膝関節症
祖父に脳梗塞あり	家族性危険因子
大腸癌にて２００２年手術	大腸癌
うっ血性心不全の増悪	うっ血性心不全増悪
抗尿酸血症	高尿酸血症
神経性頻尿	頻尿
フォンタン手術	体循環肺動脈シャント
左中大脳動脈塞栓症	中大脳動脈塞栓症
ＰＴ低下（プロトロンビン時間）	プロトロンビン時間短縮
突発性発疹症	突発性発疹
γ－ＧＴ上昇	γ－グルタミルトランスフェラーゼ増加
眼のかゆみ	眼のそう痒感
右腰痛	腰痛
術後の血栓予防	血栓症予防
ＣＭＬ	慢性骨髄性白血病
両側内頚動脈狭窄	頚動脈狭窄
ＦＴ４上昇	遊離Ｔ４増加
ペースメーカ植込み後	心臓ペースメーカー挿入
皮膚痒破による全身出血【全身掻破による出血】	創傷出血
Ｈａｎｄ－ｆｏｏｔｓｙｎ	手足症候群
肝嚢胞感染症	肝嚢胞感染
経皮的冠動脈インターベンション	経皮的冠インターベンション
ＧｎＲＨ療法	ホルモン療法
心不全（急性心不全）	急性心不全
口唇部咬傷出血	創傷出血
創治癒遅延	創傷治癒遅延
胃部分切除術	胃部分切除
単球増多	単球増加
総タンパク上昇	総蛋白増加
左手切創出血	創傷出血
右胸部の皮下出血	皮下出血
薬剤過敏性症候群（アロプリノール）	薬物過敏症
右穿孔性慢性中耳炎	慢性中耳炎
欽欠乏性貧血	鉄欠乏性貧血
右背部～脇腹つれ【筋痙攣】	筋痙攣
手足筋れん縮	四肢攣縮
縦隔リンパ節切除	リンパ節切除
下腹部痛（子宮内膜細胞診によるもの）	処置による疼痛
鼻閉感	鼻部不快感
皮膚掻痒症（全身）	全身性そう痒症
リンパ球増多	リンパ球数増加
中枢神経-松果体腫瘍	松果体新生物
カンジダ陽性	カンジダ検査陽性
ふらつき２０１１．３／１血圧１２０／６９Ｐ５７	ふらふら感
Ｄダイマー上昇	フィブリンＤダイマー増加
病勢進行による死亡【腎細胞癌】	腎細胞癌
起立性低血圧病	起立性低血圧
手、膝、肩の関節炎	多発性関節炎
右腰などの痛み	腰痛
臨床検査値の異常ＡＬＴ〔ＧＰＴ〕（増加）	ＡＬＴ増加
毛髪成長異常ＮＯＳ	毛髪成長異常
ばね指手術のため	弾発指解離
大腸癌（２００１年７月手術	大腸癌
手あれ	肌あれ
ＩＵＤが腟内で見つかった	ＩＵＤ脱出
皮下出血（両膝）	皮下出血
盲腸部に潰瘍	盲腸潰瘍
脈拍低下	脈拍数低下
オパルモン：閉塞性動脈硬化症	閉塞性動脈硬化症
よだれの量が増えた	唾液分泌亢進
ＩＶＦ－ＩＣＳＩ	体外受精
線維筋痛症	線維筋痛
乳房疼痛	乳房痛
下垂体造影ＭＲＩ	ＭＲＩ
右脇リンパ節腫大	腋窩リンパ節腫大
頭痛あり	頭痛
動物性アレルギー	動物アレルギー
糖尿病型腎症	糖尿病性腎症
プラスミノーゲン活性の上昇	プラスミノーゲン活性亢進
左第一指切創	指の損傷ＮＯＳ
耳管狭窄症	耳管狭窄
消化管間質腫瘍（大腸）	消化管間質性腫瘍
透析時低血症	透析時低血圧
右第２指打撲	指の挫傷
左上顎洞炎	上顎洞炎
背中全身の紅斑	皮膚紅斑
左上肢低温やけど	低温熱傷
ＧＧＴ上昇	ＧＧＴ増加
全身性皮脂欠乏性湿疹	皮脂欠乏性湿疹
右拇指切傷部出血	創傷出血
頭の皮疹	限局性発疹
皮膚乾燥右足底部	皮膚乾燥
下肢交通外傷	事故による外傷
髄膜腫術後	髄膜腫手術
心臓病	心疾患
膵鉤部癌	膵癌
血糖異常高値	ブドウ糖高値
Ｃ肝炎	Ｃ型肝炎
生理出血量が多い	月経過多
腎前性腎不全	急性腎前性腎不全
ＰＥＧ造設	胃瘻造設術
５２才：腎臓癌	腎癌
子宮筋腫（子宮全摘）	筋腫核出術
中枢性慢性疼痛	中枢神経障害性疼痛
足白癬（左足）	足部白癬
難治性心房細動	心房細動
上肢筋肉痛	筋肉痛
高クレアチンリン酸酵素血症	クレアチンホスホキナーゼ増加
高クレアチンキナーゼ血症の悪化	クレアチンキナーゼ高値
脳動脈硬化症に伴うめまい	無し
脳梗塞の再発	再発脳梗塞
左手擦窩傷	皮膚擦過傷
粘膜からの出血	粘膜出血
シャント肢ヘルペス	ヘルペス性皮膚炎
心内血栓予防	血栓症予防
右眼網膜裂孔	網膜裂孔
右鼻出血（右キーゼル上方やや後方から出血）	鼻出血
汗疹（頚部）	汗疹
左腎瘻	腎瘻造設
腰がだるい	腰部疲労感
糖尿病発症	糖尿病
味覚が異常になった	味覚異常
皮下出血（頭部）	皮下出血
交通事故にて腎摘	交通事故
喀痰の排出	痰
ねんざ（足首）	足関節捻挫
膀胱腫瘍出血	腫瘍出血
歯茎から出血	歯肉出血
・胃潰瘍（２７歳：手術）	胃潰瘍外科手術
乳房-その他(乳腺炎)	乳腺炎
右前胸部腫瘤	胸部腫瘤ＮＯＳ
スギ花粉アレルギー	花粉アレルギー
肝機能障害（ＧｒａｄｅⅡ）	肝機能障害
皮疹（頭部）	限局性発疹
下剤が被疑薬である偽性Bartter症候群	偽性バーター症候群
２００７年肺癌にて右上葉切除	肺癌
後尖弁輪石灰化	僧帽弁石灰化
ＭＡＬＴリンパ腫（胃）	ＭＡＬＴリンパ腫
経カテーテル的動脈塞栓術	経カテーテル動脈塞栓術
慢性骨髄増殖性疾患	骨髄増殖性疾患
大腸がん術後	大腸癌
急性呼吸障害	呼吸障害
左角膜びらん	角膜びらん
根治的腎細胞摘除	根治的腎摘除
尿糖高値	尿糖陽性
耳内の異常感	耳不快感
頸管ポリープ	子宮頚管ポリープ
前胸部の掻痒感	限局性そう痒
第二腰椎圧迫骨折	腰椎圧迫骨折
ＡＮＣＡ関連血管炎（＝顕微鏡時多発血管炎）	顕微鏡的多発血管炎
眼精疲労亢進	眼精疲労
慢性腎機能障害ＣＫＤ	慢性腎臓病
更年期うつ	閉経期うつ病
肝内多発肝細胞癌	肝細胞癌
検査結果の異常	無し
脱腸	鼡径ヘルニア
後天性腎のう胞	後天性腎嚢胞
脳梗塞疑い	脳梗塞
左黄斑下血腫	網膜下血腫
状態不良（全身健康状態低下）	全身健康状態低下
右眼結膜裂傷部位からの出血	創傷出血
恥骨が痛い	恥骨痛
CPK上昇	ＣＰＫ増加
慢性血栓塞栓性肺高血圧症	慢性血栓塞栓性肺高血圧症
右第４指切傷	指の損傷ＮＯＳ
慢性動脈血栓症	動脈血栓症
風邪を悪化	感冒
肺に菌が入った	肺感染
下肢静脈瘤の手術	静脈瘤手術
貨幣状湿疹（右下腿）	貨幣状湿疹
全身にかゆみ	全身性そう痒
口内異和感	口腔内不快感
腎腫瘍	腎新生物
甲状腺右葉の断裂	甲状腺損傷
２°ｈｙｐｅｒｐａｒａ	無し
ＬＮＧ－ＩＵＳの筋層内陥入	ＩＵＤ埋没
持続性蛋白尿	蛋白尿
出血性現象(膣)	腟出血
膿庖性乾癬の悪化	膿疱性乾癬
ＡＳＤＨ	急性硬膜下血腫
右殿部発赤	皮膚発赤
外陰膿瘍	外陰部膿瘍
検査結果の異常【肝機能検査異常】	肝機能検査異常
肩からの出血	無し
バイアスピリンとへパリンの薬物相互作用	薬物相互作用
外科的介入後１週間で感染	処置後感染
低ＡＬＰ血症疑	低アルブミン血症
心房細動発作	発作性心房細動
すねの痛み	下肢痛
手足皮膚病変	皮膚病変
ＴＰＬＡ陽性	無し
生理調整	月経周期管理
逆流性食道炎維持療法	逆流性食道炎
両Ⅰ趾ひきつり	下肢痙攣
心内膜欠損症	心内膜床欠損ＮＯＳ
顔部湿疹	顔面湿疹
入院（骨盤骨折）	骨盤骨折
気分が落ちこむ	抑うつ気分
多発性大腸憩室	結腸憩室
水疱（唇）	口唇水疱
良性めまい症	めまい感
左肘骨折	肘骨折
外照射	放射線療法
